Touchpoint,Phase,Channel,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,gr_absolute,gr_respondent%,gr_importance_avg,gr_max_norm_resp%,gr_max_nor_imp_avg,gr_index,gr_dfm_by_chnl,all_avge_index
Promotions site,Consideration,D,45,2.25%,3.8,0.05,0.88,0.465,-0.04,126,6.45%,4.2,0.15,0.98,0.563,-0.01,68,3.42%,4,0.06,0.93,0.496,-0.02,0.508
Retailer circular,Consideration,O,391,19.58%,4,0.40,0.93,0.665,0.16,372,19.06%,4.1,0.44,0.95,0.697,0.13,350,17.60%,3.9,0.32,0.91,0.615,0.10,0.659
Retailer promotion online,Consideration,D,155,7.76%,3.8,0.16,0.88,0.521,0.01,121,6.20%,4,0.14,0.93,0.537,-0.04,263,13.22%,3.8,0.24,0.88,0.563,0.05,0.540
Retailer's advert,Consideration,OD,134,6.71%,3.4,0.14,0.79,0.464,-0.05,199,10.19%,3.7,0.24,0.86,0.548,-0.01,116,5.83%,3.1,0.11,0.72,0.414,-0.09,0.475
Retailer's App,Consideration,D,37,1.85%,3.4,0.04,0.79,0.414,-0.10,66,3.38%,3.9,0.08,0.91,0.493,-0.08,29,1.46%,3.2,0.03,0.74,0.385,-0.13,0.431
Retailer's Magazine,Consideration,OD,105,5.26%,3.9,0.11,0.91,0.507,-0.01,127,6.51%,4.2,0.15,0.98,0.564,0.01,90,4.52%,3.7,0.08,0.86,0.472,-0.03,0.514
Retailer's website,Consideration,D,39,1.95%,3.7,0.04,0.86,0.450,-0.06,113,5.79%,4.1,0.13,0.95,0.544,-0.03,70,3.52%,3.8,0.06,0.88,0.474,-0.04,0.489
Sampling,Consideration,O,85,4.26%,3.7,0.09,0.86,0.474,-0.03,84,4.30%,3.8,0.10,0.88,0.492,-0.08,115,5.78%,3.6,0.11,0.84,0.472,-0.04,0.479
Search engine,Consideration,D,47,2.35%,3.6,0.05,0.84,0.443,-0.07,114,5.84%,4.2,0.14,0.98,0.556,-0.02,54,2.71%,3.9,0.05,0.91,0.478,-0.04,0.492
Shopping List,Consideration,O,679,34.00%,4.2,0.69,0.98,0.836,0.33,516,26.43%,4.2,0.61,0.98,0.794,0.23,623,31.32%,4.3,0.57,1.00,0.787,0.27,0.806
Social networks,Consideration,D,59,2.95%,3.1,0.06,0.72,0.391,-0.12,116,5.94%,3.9,0.14,0.91,0.522,-0.05,115,5.78%,3.1,0.11,0.72,0.413,-0.10,0.442
Sustainability App,Consideration,D,2,0.10%,4.3,0.00,1.00,0.501,-0.01,48,2.46%,4.3,0.06,1.00,0.528,-0.05,4,0.20%,3.8,0.00,0.88,0.444,-0.07,0.491
Tv advert,Consideration,O,186,9.31%,3,0.19,0.70,0.444,-0.06,186,9.53%,3.7,0.22,0.86,0.540,-0.03,232,11.66%,3.1,0.21,0.72,0.467,-0.05,0.484
Aisle,Selection,O,1172,58.63%,3.9,1.00,0.91,0.953,0.43,854,43.91%,4,1.00,0.91,0.955,0.38,1035,52.41%,3.9,1.00,0.91,0.953,0.42,0.954
Banner advert,Selection,D,4,0.20%,4.3,0.00,1.00,0.502,0.04,34,1.75%,4.1,0.04,0.93,0.486,-0.04,4,0.20%,3,0.00,0.70,0.351,-0.12,0.446
Biscuit category page,Selection,D,49,2.45%,3.7,0.04,0.86,0.451,-0.01,117,6.02%,4.2,0.14,0.95,0.546,0.02,36,1.82%,3.8,0.03,0.88,0.459,-0.01,0.485
