Touchpoint,Phase,Channel,aus_absolute,aus_respondent%,aus_importance_avg,aus_max_norm_resp%,aus_max_nor_imp_avg,aus_index,aus_dfm_by_chnl,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,au_absolute,au_respondent%,au_importance_avg,au_max_norm_resp%,au_max_nor_imp_avg,au_index,au_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,gr_absolute,gr_respondent%,gr_importance_avg,gr_max_norm_resp%,gr_max_nor_imp_avg,gr_index,gr_dfm_by_chnl,ch_absolute,ch_respondent%,ch_importance_avg,ch_max_norm_resp%,ch_max_nor_imp_avg,ch_index,ch_dfm_by_chnl,us_absolute,usa_respondent%,us_importance_avg,us_max_norm_resp%,us_max_nor_imp_avg,us_index,us_dfm_by_chnl,all_avge_index
On pack promotion,Selection,O,91,0.048,2.8,0.06,0.82,0.443,-0.028,235,0.116,2.8,0.15,0.82,0.486,0.007,91,0.048,2.8,0.06,0.82,0.443,-0.028,96,0.047,2.7,0.06,0.79,0.428,-0.036,452,0.233,3.5,0.30,0.95,0.621,0.142,112,0.091,2.8,0.14,0.88,0.507,0.017,56,0.028,2.8,0.04,0.82,0.430,-0.061,0.480
Packaging,Selection,O,515,0.270,3,0.35,0.88,0.619,0.147,635,0.314,3.1,0.40,0.91,0.658,0.178,515,0.270,3,0.35,0.88,0.619,0.147,674,0.328,3.1,0.44,0.91,0.674,0.210,505,0.261,3.3,0.33,0.89,0.612,0.132,418,0.338,3.1,0.52,0.97,0.743,0.253,538,0.268,3.2,0.35,0.94,0.644,0.154,0.652
Product display,Selection,O,411,0.216,3,0.28,0.88,0.583,0.111,342,0.169,3.2,0.22,0.94,0.579,0.100,411,0.216,3,0.28,0.88,0.583,0.111,629,0.307,3,0.41,0.88,0.645,0.180,303,0.156,3.3,0.20,0.89,0.545,0.066,213,0.172,3,0.26,0.94,0.600,0.111,513,0.256,3.1,0.33,0.91,0.621,0.131,0.594
Promo stand,Selection,O,212,0.111,2.9,0.15,0.85,0.499,0.028,409,0.202,3.1,0.26,0.91,0.586,0.107,212,0.111,2.9,0.15,0.85,0.499,0.028,295,0.144,2.9,0.19,0.85,0.522,0.058,369,0.190,3.4,0.24,0.92,0.581,0.101,292,0.236,2.9,0.36,0.91,0.634,0.144,252,0.126,3,0.16,0.88,0.523,0.032,0.549
Recipe Leaflet/Display,Selection,O,61,0.032,2.6,0.04,0.76,0.403,-0.068,69,0.034,2.4,0.04,0.71,0.375,-0.104,61,0.032,2.6,0.04,0.76,0.403,-0.068,53,0.026,2.7,0.03,0.79,0.414,-0.050,26,0.013,2.1,0.02,0.57,0.292,-0.187,30,0.024,2.3,0.04,0.72,0.378,-0.112,82,0.041,2.5,0.05,0.74,0.394,-0.097,0.380
Retailer circular,Selection,O,129,0.068,3.4,0.09,1.00,0.544,0.073,76,0.038,3.2,0.05,0.94,0.495,0.015,129,0.068,3.4,0.09,1.00,0.544,0.073,187,0.091,3.2,0.12,0.94,0.531,0.067,167,0.086,3.4,0.11,0.92,0.514,0.035,38,0.031,3,0.05,0.94,0.492,0.003,204,0.102,3.4,0.13,1.00,0.566,0.075,0.527
Search engine,Selection,D,53,0.028,3,0.04,0.88,0.459,-0.028,32,0.016,2.9,0.02,0.85,0.437,-0.055,53,0.028,3,0.04,0.88,0.459,-0.028,30,0.015,2.9,0.02,0.85,0.436,-0.072,40,0.021,2.8,0.03,0.76,0.392,-0.112,50,0.040,2.6,0.06,0.81,0.437,-0.093,55,0.027,3.2,0.04,0.94,0.488,-0.032,0.444
Shelf,Selection,O,1452,0.761,3.4,1.00,1.00,1.000,0.528,1574,0.778,3.3,1.00,0.97,0.985,0.506,1452,0.761,3.4,1.00,1.00,1.000,0.528,1546,0.753,3.3,1.00,0.97,0.985,0.521,1524,0.786,3.7,1.00,1.00,1.000,0.521,809,0.655,3.2,1.00,1.00,1.000,0.510,1549,0.772,3.4,1.00,1.00,1.000,0.509,0.996
Shelf barker,Selection,O,120,0.063,3.1,0.08,0.91,0.497,0.026,153,0.076,3,0.10,0.88,0.490,0.010,120,0.063,3.1,0.08,0.91,0.497,0.026,151,0.074,2.7,0.10,0.79,0.446,-0.018,222,0.115,3.5,0.15,0.95,0.546,0.067,82,0.066,2.8,0.10,0.88,0.488,-0.001,112,0.056,3.2,0.07,0.94,0.507,0.016,0.496
Shelf strip,Selection,O,148,0.078,3.3,0.10,0.97,0.536,0.065,159,0.079,3.4,0.10,1.00,0.551,0.071,148,0.078,3.3,0.10,0.97,0.536,0.065,263,0.128,3.4,0.17,1.00,0.585,0.121,317,0.164,3.7,0.21,1.00,0.604,0.125,139,0.112,3.2,0.17,1.00,0.586,0.096,144,0.072,3.2,0.09,0.94,0.517,0.026,0.559
Store staff,Selection,O,22,0.012,3.1,0.02,0.91,0.463,-0.008,21,0.010,2.3,0.01,0.68,0.345,-0.134,22,0.012,3.1,0.02,0.91,0.463,-0.008,24,0.012,3.1,0.02,0.91,0.464,0.000,24,0.012,2.9,0.02,0.78,0.400,-0.079,15,0.012,2.1,0.02,0.66,0.337,-0.152,31,0.015,2.8,0.02,0.82,0.422,-0.069,0.413
Traditional coupon,Selection,O,31,0.016,2.6,0.02,0.76,0.393,-0.079,105,0.052,3,0.07,0.88,0.475,-0.005,31,0.016,2.6,0.02,0.76,0.393,-0.079,79,0.038,3,0.05,0.88,0.467,0.003,96,0.050,3,0.06,0.81,0.437,-0.042,85,0.069,2.7,0.11,0.84,0.474,-0.015,235,0.117,3.3,0.15,0.97,0.561,0.070,0.457
Trolley panel,Selection,O,33,0.017,2.9,0.02,0.85,0.438,-0.034,56,0.028,2.4,0.04,0.71,0.371,-0.109,33,0.017,2.9,0.02,0.85,0.438,-0.034,33,0.016,2.2,0.02,0.65,0.334,-0.130,76,0.039,3,0.05,0.81,0.430,-0.049,37,0.030,2.4,0.05,0.75,0.398,-0.092,46,0.023,2.9,0.03,0.85,0.441,-0.049,0.407
